2024-11-27 14:43:16 - FewShotSeg - INFO - Epoch: 1, Iteration: 19, Training Loss: 0.0095, Mean IoU: 0.9255, Mean Accuracy: 0.9632, per Category IOU: [0.99956545 0.85140905]
2024-11-27 14:43:16 - FewShotSeg - INFO - Epoch: 1, Iteration: 20, Training Loss: 0.0080, Mean IoU: 0.9506, Mean Accuracy: 0.9776, per Category IOU: [0.9996852 0.9015625]
2024-11-27 14:43:17 - FewShotSeg - INFO - Epoch: 1, Iteration: 21, Training Loss: 0.0155, Mean IoU: 0.9588, Mean Accuracy: 0.9731, per Category IOU: [0.99958956 0.91791792]
2024-11-27 14:43:17 - FewShotSeg - INFO - Epoch: 1, Iteration: 22, Training Loss: 0.0100, Mean IoU: 0.9502, Mean Accuracy: 0.9798, per Category IOU: [0.99951205 0.90091463]
2024-11-27 14:43:17 - FewShotSeg - INFO - Epoch: 1, Iteration: 23, Training Loss: 0.0090, Mean IoU: 0.9306, Mean Accuracy: 0.9753, per Category IOU: [0.99950271 0.86170952]
2024-11-27 14:43:18 - FewShotSeg - INFO - Epoch: 1, Iteration: 24, Training Loss: 0.0084, Mean IoU: 0.9476, Mean Accuracy: 0.9652, per Category IOU: [0.99966772 0.89544025]
2024-11-27 14:43:18 - FewShotSeg - INFO - Epoch: 1, Iteration: 25, Training Loss: 0.0098, Mean IoU: 0.9579, Mean Accuracy: 0.9815, per Category IOU: [0.99963985 0.91618161]
2024-11-27 14:43:18 - FewShotSeg - INFO - Epoch: 1, Iteration: 26, Training Loss: 0.0144, Mean IoU: 0.9396, Mean Accuracy: 0.9626, per Category IOU: [0.99947734 0.87967761]
2024-11-27 14:43:18 - FewShotSeg - INFO - Epoch: 1, Iteration: 27, Training Loss: 0.0078, Mean IoU: 0.9519, Mean Accuracy: 0.9714, per Category IOU: [0.99964506 0.90424815]
2024-11-27 14:43:19 - FewShotSeg - INFO - Epoch: 1, Iteration: 28, Training Loss: 0.0103, Mean IoU: 0.9437, Mean Accuracy: 0.9641, per Category IOU: [0.99953743 0.8879467 ]
2024-11-27 14:43:19 - FewShotSeg - INFO - Epoch: 1, Iteration: 29, Training Loss: 0.0060, Mean IoU: 0.9488, Mean Accuracy: 0.9756, per Category IOU: [0.99967271 0.89797508]
2024-11-27 14:43:19 - FewShotSeg - INFO - Epoch: 1, Iteration: 30, Training Loss: 0.0090, Mean IoU: 0.9631, Mean Accuracy: 0.9874, per Category IOU: [0.99957421 0.92659758]
2024-11-27 14:43:19 - FewShotSeg - INFO - Epoch: 1, Iteration: 31, Training Loss: 0.0071, Mean IoU: 0.9645, Mean Accuracy: 0.9852, per Category IOU: [0.99970489 0.9293836 ]
